level_0,t,r,Is,p_1,X1_t,Sigma1_coeff,delta,X1_t_orig,X2_t,dcof,Sigma1_coeff_k
60,0.5,0.15000000000000002,261.0,0.25,2.2847319317591723,0.0025000000000000005,0.2,3.2310988842807022,3.1412986963993097,0.6,4
61,0.5,0.15000000000000002,261.0,0.5,2.2847319317591723,0.0025000000000000005,0.2,3.2310988842807022,3.1412986963993097,0.6,4
62,0.5,0.15000000000000002,261.0,0.75,2.2847319317591723,0.0025000000000000005,0.2,3.2310988842807022,3.1412986963993097,0.6,4
63,0.5,0.2,261.0,0.25,2.2847319317591723,0.0025000000000000005,0.2,3.2310988842807022,3.4739948186489857,0.6,4
64,0.5,0.2,261.0,0.5,2.2847319317591723,0.0025000000000000005,0.2,3.2310988842807022,3.4739948186489857,0.6,4
65,0.5,0.2,261.0,0.75,2.2847319317591723,0.0025000000000000005,0.2,3.2310988842807022,3.4739948186489857,0.6,4
66,0.5,0.25,261.0,0.25,2.2847319317591723,0.0025000000000000005,0.2,3.2310988842807022,3.7126893891086548,0.6,4
67,0.5,0.25,261.0,0.5,2.2847319317591723,0.0025000000000000005,0.2,3.2310988842807022,3.7126893891086548,0.6,4
68,0.5,0.25,261.0,0.75,2.2847319317591723,0.0025000000000000005,0.2,3.2310988842807022,3.7126893891086548,0.6,4
69,0.5,0.30000000000000004,261.0,0.25,2.2847319317591723,0.0025000000000000005,0.2,3.2310988842807022,3.8793375723182435,0.6,4
70,0.5,0.30000000000000004,261.0,0.5,2.2847319317591723,0.0025000000000000005,0.2,3.2310988842807022,3.8793375723182435,0.6,4
